Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	blood vessel morphogenesis (GO:0048514)	4/56	6.88332219769668e-06	0.0044259761731189	0	0	38.27692307692308	454.9751685037966	LOX;COL4A1;KDR;TGFBR1
GO_Biological_Process_2021	positive regulation of cell differentiation (GO:0045597)	6/258	2.034836954845397e-05	0.0052414000184991	0	0	12.345864661654137	133.3663236235866	NEUROD1;IGFBP3;KDR;SOX6;TGFBR1;ZFP36L1
GO_Biological_Process_2021	cellular response to growth factor stimulus (GO:0071363)	5/158	2.445443243467708e-05	0.0052414000184991	0	0	16.59376571141277	176.20420457406894	SEMA6A;KDR;SOX6;TGFBR1;ZFP36L1
GO_Biological_Process_2021	collagen fibril organization (GO:0030199)	4/89	4.340739365232236e-05	0.0069777385296108	0	0	23.37764705882353	234.8256774057398	LOX;COL4A1;ITGA6;TGFBR1
GO_Biological_Process_2021	extracellular structure organization (GO:0043062)	5/216	0.0001081229784943486	0.0127668022640686	0	0	11.99720500668368	109.56137091335086	LOX;COL4A1;KDR;ITGA6;TGFBR1
GO_Biological_Process_2021	positive regulation of cell motility (GO:2000147)	5/221	0.00012037725002854656	0.0127668022640686	0	0	11.716524216524215	105.74022502664069	SEMA6A;KDR;NEDD9;ITGA6;TGFBR1
GO_Biological_Process_2021	cytoskeleton organization (GO:0007010)	4/120	0.00013898540567415353	0.0127668022640686	0	0	17.103448275862068	151.89814642227526	CECR2;SEMA6A;PALLD;NEDD9
GO_Biological_Process_2021	positive regulation of cell migration (GO:0030335)	5/269	0.0002999432532970071	0.0241079389837469	0	0	9.562937062937063	77.57375418726693	SEMA6A;KDR;NEDD9;ITGA6;TGFBR1
GO_Biological_Process_2021	regulation of cell differentiation (GO:0045595)	4/156	0.0003792244170843916	0.0247419201970335	0	0	13.028947368421052	102.63400067243022	NEUROD1;EMP2;TGFBR1;ZFP36L1
GO_Biological_Process_2021	regulation of vasculogenesis (GO:2001212)	2/14	0.000423267686107884	0.0247419201970335	0	0	79.14285714285714	614.7425980386419	KDR;EMP2
GO_Biological_Process_2021	branching involved in blood vessel morphogenesis (GO:0001569)	2/14	0.000423267686107884	0.0247419201970335	0	0	79.14285714285714	614.7425980386419	COL4A1;KDR
GO_Biological_Process_2021	extracellular matrix organization (GO:0030198)	5/300	0.0004939839125442387	0.0264693046471621	0	0	8.544545849630595	65.04969255165393	LOX;COL4A1;KDR;ITGA6;TGFBR1
GO_Biological_Process_2021	negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	3/80	0.0007251995194618355	0.0358694839241507	0	0	18.89040228064618	136.559922193378	ITGA6;TGFBR1;HSPA1B
GO_Biological_Process_2021	regulation of lymphocyte differentiation (GO:0045619)	2/20	0.0008763666329947344	0.0375669163343742	0	0	52.74603174603175	371.31761233322095	PRDM1;ZFP36L1
GO_Biological_Process_2021	regulation of protein modification by small protein conjugation or removal (GO:1903320)	2/20	0.0008763666329947344	0.0375669163343742	0	0	52.74603174603175	371.31761233322095	TGFBR1;HSPA1B
GO_Biological_Process_2021	blood vessel endothelial cell migration (GO:0043534)	2/23	0.001162071491037	0.039326945722991	0	0	45.204081632653065	305.4688914851312	KDR;EMP2
GO_Biological_Process_2021	ERK1 and ERK2 cascade (GO:0070371)	2/23	0.001162071491037	0.039326945722991	0	0	45.204081632653065	305.4688914851312	KDR;ZFP36L1
GO_Biological_Process_2021	supramolecular fiber organization (GO:0097435)	5/351	0.0010018941969522	0.039326945722991	0	0	7.266192381799319	50.1793282030559	LOX;COL4A1;EMP2;ITGA6;TGFBR1
GO_Biological_Process_2021	regulation of kinase activity (GO:0043549)	3/94	0.0011580830410683	0.039326945722991	0	0	15.972929509514875	107.99280377258182	KDR;EMP2;ROR1
GO_Biological_Process_2021	protein kinase B signaling (GO:0043491)	2/24	0.0012659452144418	0.03988209132055	0	0	43.14718614718615	287.87527450942133	KDR;ZFP36L1
GO_Biological_Process_2021	external encapsulating structure organization (GO:0045229)	4/217	0.0013025255330195	0.03988209132055	0	0	9.269014084507042	61.57823330151496	LOX;COL4A1;KDR;ITGA6
GO_Biological_Process_2021	regulation of chondrocyte differentiation (GO:0032330)	2/26	0.0014865393689923	0.0434474915573663	0	0	39.54761904761905	257.5065871609359	SOX6;TGFBR1
GO_Biological_Process_2021	regulation of cell migration (GO:0030334)	5/408	0.0019461803535533	0.0539839353593337	0	0	6.220334669466183	38.82662374775168	SEMA6A;KDR;NEDD9;ITGA6;TGFBR1
GO_Biological_Process_2021	cellular response to transforming growth factor beta stimulus (GO:0071560)	3/114	0.0020149524861959	0.0539839353593337	0	0	13.081740276862227	81.20045058032703	SOX6;TGFBR1;ZFP36L1
GO_Biological_Process_2021	regulation of gene expression (GO:0010468)	8/1079	0.0021864858732222	0.056236416659277	0	0	3.918456271397448	24.002345773059275	NR5A2;KDR;PRDM1;SOX6;TGFBR1;HSPA1B;ZFP36L1;RBMS3
GO_Biological_Process_2021	positive regulation of cellular process (GO:0048522)	6/625	0.0023363091647537	0.057778722805255	0	0	4.932488733951194	29.88685126713769	NEUROD1;TENM4;KDR;EMP2;TGFBR1;ZFP36L1
GO_Biological_Process_2021	cellular response to vascular endothelial growth factor stimulus (GO:0035924)	2/34	0.0025375105390328	0.0582721170213611	0	0	29.64880952380953	177.19823834941815	SEMA6A;KDR
GO_Biological_Process_2021	regulation of myoblast differentiation (GO:0045661)	2/34	0.0025375105390328	0.0582721170213611	0	0	29.64880952380953	177.19823834941815	IGFBP3;ZFP36L1
GO_Biological_Process_2021	negative regulation of epithelial cell apoptotic process (GO:1904036)	2/37	0.0029998704428757	0.0642972231589708	0	0	27.10340136054422	157.44870453212684	NEUROD1;KDR
GO_Biological_Process_2021	regulation of erythrocyte differentiation (GO:0045646)	2/37	0.0029998704428757	0.0642972231589708	0	0	27.10340136054422	157.44870453212684	HSPA1B;ZFP36L1
GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	3/140	0.0036045538787404	0.0747654240009713	0	0	10.585187822681146	59.54758027420025	KDR;NEDD9;ROR1
GO_Biological_Process_2021	branching morphogenesis of an epithelial tube (GO:0048754)	2/44	0.0042197160395699	0.0798022768659855	0	0	22.578231292517007	123.45748517907802	COL4A1;KDR
GO_Biological_Process_2021	positive regulation of stress fiber assembly (GO:0051496)	2/44	0.0042197160395699	0.0798022768659855	0	0	22.578231292517007	123.45748517907802	TGFBR1;PFN2
GO_Biological_Process_2021	positive regulation of cell-matrix adhesion (GO:0001954)	2/44	0.0042197160395699	0.0798022768659855	0	0	22.578231292517007	123.45748517907802	KDR;EMP2
GO_Biological_Process_2021	positive regulation of apoptotic process (GO:0043065)	4/310	0.0047189259356409	0.0866934107604889	0	0	6.421568627450981	34.39503931513212	NEUROD1;IGFBP3;ITGA6;TGFBR1
GO_Biological_Process_2021	positive regulation of actin filament bundle assembly (GO:0032233)	2/51	0.0056320972485066	0.0978767170483731	0	0	19.345966958211857	100.1980519312332	TGFBR1;PFN2
GO_Biological_Process_2021	regulation of epithelial cell migration (GO:0010632)	2/51	0.0056320972485066	0.0978767170483731	0	0	19.345966958211857	100.1980519312332	EMP2;PFN2
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, deadenylation-independent decay (GO:0031086)	1/7	0.0153008809616605	0.0994002129461535	0	0	77.32558139534883	323.20893495079423	ZFP36L1
GO_Biological_Process_2021	skin morphogenesis (GO:0043589)	1/7	0.0153008809616605	0.0994002129461535	0	0	77.32558139534883	323.20893495079423	ITGA6
GO_Biological_Process_2021	negative regulation of ruffle assembly (GO:1900028)	1/7	0.0153008809616605	0.0994002129461535	0	0	77.32558139534883	323.20893495079423	PFN2
GO_Biological_Process_2021	positive regulation of microtubule nucleation (GO:0090063)	1/7	0.0153008809616605	0.0994002129461535	0	0	77.32558139534883	323.20893495079423	HSPA1B
GO_Biological_Process_2021	positive regulation of membrane depolarization (GO:1904181)	1/7	0.0153008809616605	0.0994002129461535	0	0	77.32558139534883	323.20893495079423	KDR
GO_Biological_Process_2021	positive regulation of integrin-mediated signaling pathway (GO:2001046)	1/7	0.0153008809616605	0.0994002129461535	0	0	77.32558139534883	323.20893495079423	EMP2
GO_Biological_Process_2021	positive regulation of gastrulation (GO:2000543)	1/7	0.0153008809616605	0.0994002129461535	0	0	77.32558139534883	323.20893495079423	TENM4
GO_Biological_Process_2021	regulation of mesenchymal stem cell differentiation (GO:2000739)	1/7	0.0153008809616605	0.0994002129461535	0	0	77.32558139534883	323.20893495079423	SOX6
GO_Biological_Process_2021	ventricular compact myocardium morphogenesis (GO:0003223)	1/6	0.0131291245516557	0.0994002129461535	0	0	92.7953488372093	402.075033372933	TGFBR1
GO_Biological_Process_2021	gap junction assembly (GO:0016264)	1/7	0.0153008809616605	0.0994002129461535	0	0	77.32558139534883	323.20893495079423	GJC1
